category,subject,statement,date_as_written,date_iso,citation,verbatim_quotation
person,Emily Douglas; Rebecca Goodloe; Miriam Stevenson; Rebecca Winneford; J. D. Orr,Folder 4 contents (not supplied),,,01-006-P02,"Folder 4 – Correspondence / Songs by Emily Douglas / Correspondence from Rebecca Goodloe to her daughters / Correspondence to Mary Douglas from Miriam Stevenson / Various correspondence involving Rebecca Winneford, George Douglas, Lizzie Douglas, N. L. Douglas, Mary Douglas, J. D. Orr, J. M. Bell and Sue Bell, and Laura Douglas"
event,N. L. Douglas day book,"Folder 5 (not supplied): day book of Murfreesboro TN and Liberty Settlement, Red Oak, Ellis Co., beginning 4 Jan 1830","Jan. 4, 1830",1830-01-04,01-006-P03,"Folder 5 - Daybook of N.L. Douglas / The Daybook of N. L. Douglas of Murfreesboro TN and Ellis County, Liberty Settlement, Red Oak TX beginning Jan. 4, 1830 / Business correspondence of N. L. Douglas"
event,Folder 6 (not supplied),"Wartime letters 1863-1864 including George to Lizzie, Sue Bell, Rebecca Winneford, N. B. Winneford, and Lizzie to George and Warren 28 Jan 1863",1863-1869,1863/1869,01-006-P04,"To George and Warren from Lizzie (Jan. 28, 1863) / To George Douglas from N. B. Winneford (1863) / To George Bell from Rebecca Winneford (July 23, 1864 ...) / To George Douglas from Lizzie Douglas (two from 1863 - month unknown, April 15, 1863, Jan. 22, 1863 ...)"
event,Folder 7 (not supplied),"George's poems, essay and personal notebook",1860s-1870s,1860/1879,01-006-P05,"Numerous poems by George Douglas from 1860's and 1870's / Essay: ""What are social parties?"" by George Douglas / Copy of George's personal notebook, including financial records and personal recordings"
church,L. Douglas,Sermon notes on 'Jesus wept' signed at Sylvana,Feb 16th 1883,1883-02-16,02-004-P03,L. Douglas. / Sylvana Feb 16th 1883
church,L. Douglas,Identifying slip places the sermon at Sylvana Church (Brushy Creek) and queries the initial,"Feb 16, 1883",1883-02-16,02-002-P01,"Sermon notes / Sylvana Church / (Brushy Creek) / Feb 16, 1883 / L(?) Douglas"
church,L. Douglas,Cites Renan's Life of Christ,,,02-003-P02,"Renan in his Life of Christ says ""All ages will proclaim that among the sons of men there were none born greater than Jesus."""
church,George Douglas,"Sylvana congregation certifies George a member of the Church of Christ, laboring in word and doctrine, and endorses him to continue",Sept 1888,1888-09,03-003-P01,"This certifies that Bro. George Douglas, who is a member of the Church of Christ worshiping at Sylvana Ellis County Texas, has for some length of time been laboring in word and doctrine, and wishing him to continue in the work, we take pleasure in stating that he goes with our full permission & hearty approval."
church,H. Douglas; H. G. Orr,"Elders of the Sylvana church, 2nd Lord's day Sept 1888",2nd Lords day in Sept 1888,1888-09-09,03-005-P01; 03-005-P02,Given by Order of the Church / On the 2nd Lords day in / Sept 1888 / Elders / H. Douglas / H G Orr
event,Cousin (signature [[J. H. Scott?]]),"Letter to Cousin George from Orange Co., Texas; regiment left Alexandria La.; writer on Red River detail",June 28th /64,1864-06-28,04-002-P01; 04-002-P03,Orange Co Texas / June 28th /64 ... Our Regt left Alexandria La Yesterday week for [[illegible]]. I was detailed to go down on Red River & join the Command at [[Walkers?]] Bend
person,Eliza,Named with 'family' in the greeting,June 1864,1864-06-28,04-002-P04,All at home to Eliza & family
event,Uncle Alfred,Death of Uncle [[Alfred?]] from a wound,5th of June 1864,1864-06-05,04-002-P04,I suppose you have heard of the death of Uncle [[Alfred?]] he died on the 5th of June from a wound Recd on the 18th of May
unit,George Douglas,"Address: Co C, [[illegible]] Regt, Sabine Pass, carried by Mr Richardson",June 1864,1864-06,04-003-P01; 04-003-P02,George Douglas / Co C / [[illegible]] Regt / Sab Pass / By Mr Richardson
event,Henry (cousin),"Writes from Brushy, Ellis County, after twenty-odd months' absence",Friday Jan 29th 1864,1864-01-29,04-004-P01; 04-004-P03,Brushy Ellis County Texas / Friday Jan 29th 1864 ... After an absence of twenty odd months I arrived at [[illegible]] on 22d of the month
person,Aunt Bettie,Henry has just returned from Aunt Bettie's,Jan 1864,1864-01-29,04-004-P03,I have just returned from Aunt Betties
event,Henry (cousin),Detached service since Feb 1st; sent to the Ouachita river country to gather forage,Feb 1863,1863-02,04-004-P04,Since Feb 1st - I have been on detached Service the greater portion of the time - Last Feb was sent to the Ouachita river Country to gather forage for the Command.
event,Henry (cousin),Portion of regiment sent to assist Louisianians; Col Burleson a 'Rosin Heel' catcher; joined command in Hopkins County last of Nov; prisoners to Tyler and Shreveport; guns to Bonham; holidays at home 15 days; Crockett; San Augustine; brigade to Hempstead by 10 Feb,Nov 1863-Feb 1864,1863-11/1864-02,04-005-P01; 04-007-P01,"In the Last part of the fall a portion of our Regt was sent out to assist the Louisianians in getting into the Service ... Col Burleson having become famous as a ""Rosin Heel"" catcher ... I joined the Command in Hopkins County the Last of Nov ... Our Brigade is ordered to be at Hempstead Tex by the 10th of Feb"
person,Jim Lowder,"Of Ross' Regt, home on furlough; squad brought arms across the Trans-[Mississippi] with 6 millions in Confederate money",Jan 1864,1864-01,04-007-P02,"Jim Lowder of Ross' Regt is home on furlough. The Squad he came With brought Some Arms across the ""Trans[[illegible]]"" [[illegible]] 6 millions in Confed. Money."
event,James (cousin),Wounded at Chickamauga; not heard from since mid-October,Oct 1863,1863-10,04-007-P02,We have not heard from [[illegible]] & James Since the middle of Oct. James was [[illegible]] Wounded [[illegible]] in the Chickamauga Battle. I am very anxious to know how They came off at the Chattanooga fight.
person,Capt Bledsoe,Left Lancaster to resume command of his company,Jan 1864,1864-01,04-007-P02,Capt Bledsoe left Lancaster a few days Since to resume the Command of his Company
event,Militia,"Last militia called out, en route for Galveston",Jan 1864,1864-01,04-007-P02,The last [[illegible]] of the militia has been called out too & are now enroute for Galveston
person,The Old Folks; John; Sister E; Miss Pet; Mrs G; Miss Ella; Laura,Household and neighbours named by cousin Henry,Jan 1864,1864-01,04-006-P03,The Old Folks & John are enjoying good health ... engaged Sister E ... Miss [[illegible]] Pet & [[McChapel?]] Staid with us ... Was at Mrs G's last evening. Miss Ella & Laura Were there. The Conversation was of a party at McFaddens last night.
church,Liberty,Cousin Henry attended Liberty three Sundays,Jan 1864,1864-01,04-006-P03,I have attended Liberty 3 Sundays Since my arrival
person,Mollie; Quincy,Named in closing,Jan 1864,1864-01,04-005-P06,I have used the [[illegible]] & Mollie ... that you distribute between [[illegible]] & Quincy
unit,Henry (cousin),"Address Hempstead, Co G Brown's Regt",Jan 1864,1864-01,04-005-P06,Address me at Hempstead Tex Co G Browns Regt. Your Cousin Henry.
event,Henry (cousin),Postscript: to Lancaster to hear Mr [[Brown?]],Sat 30th [Jan 1864],1864-01-30,04-005-P07,Sat 30th I am on Lizzie [[Suite?]] & I expect to go to Lancaster tomorrow to hear Mr [[Brown?]]
person,Col Patton,Fragment: a force of 2500; the siege; Charleston; blockade,,,04-008-P04; 04-008-P06,Col Patton has [[lost: edge]] / a force of 2500 [[lost: edge]] / [[illegible]] the siege ... [[lost: edge]] from Charleston [[illegible]] ... [[lost: edge]] blockade
event,Fragment,Mentions 'the Vicksburg affair' and Yankee,,,04-009-P02; 04-009-P04,[[lost: edge]] the Vicksburg affair ... [[Yankee?]] is certain
event,Henry (cousin),Letter from Camp [[Yavely?]] Texas condoling George on the death of his sister,March 13/65,1865-03-13,04-010-P01; 04-010-P04,Camp [[Yavely?]] Texas / March 13/65 ... all joy has been turned into sadness by the Intelligence of the Death of your Sister. ... Cousin George In this dark hour of bereavement you have my Sympathies.
event,Henry (cousin),Came to this place 5 March; likely to move to Brazos County; Lafayette's arrival unexpected; had feared he had not survived the Tennessee campaign; letter from Brother James enclosed,March 1865,1865-03,04-011-P01,We Came to this place the 5th of March and will more [[illegible]] very likely be to the Brazos County ... when [[Lafayette?]] arrival was very Unexpected to me. I had great fears that he had not survived The Tenn Campaign. Through him [[illegible]] I Recd a Letter from Brother James which I enclose to you.
person,Mat Brawner; Capt [[Wad?]]; Sam'l [[Rea?]]; Aunt [[Matten?]],Names in cousin Henry's March 1865 letter,March 1865,1865-03,04-011-P02; 04-011-P03,Mat Brawner of this Co desires To be transferred to [[Saffold's?]] Command & has [[illegible]] Capt [[Wad?]] ... I am looking for Fayette with Sam'l [[Rea?]] in a few days. I have lately heard from Aunt [[Matten?]] all here was quite well.
place,Hempstead,Corps headquarters,March 1865,1865-03,04-011-P03,Write & Address me at Hempstead which is Corps headquarters.
person,Warren; John,"Regards to Warren and John, evidently with George",March 1865,1865-03,04-011-P04,Kind Regards to Warren & John Your Cousin Henry
event,James (cousin) to Lizzie,"Copy of 'The River of Death' made for Cousin Lizzie from Bloomsdale, recited the night of the 4th",July 6th/65,1865-07-06,04-013-P06; 04-013-P08; 04-013-P09,Bloomsdale July 6th/65 / Cousin Lizzie / As you thought the first of the foregoing lines that I repeated the night of the 4th were beautiful ... Your Cousin James
event,Ballad,Title panel,,,04-014-P01,"Ballad / ""The River of Death"" / Written for Lizzie"
person,Henry Seale,"Address fragment, Nashville, Milam [County], Texas",Apr 10 [year lost],,04-015-P01,[[illegible]] Prairie [[illegible]] Apr 10 [[lost: edge]] / Mr Henry Seale / Nashville Milam / Texas
place,Lizzy Douglas,"Address: Redoak P.O., from Nashville Texas",Ap[ril],,04-016-P01,Nashville Texas Ap[[lost: edge]] / Miss Lizzy Douglas / Redoak Po / Texas
event,Henry (cousin),Letter of Sept 18 1863 from [[Yellow?]] Branch; home on detail after clothing for his company,Sept 18th 1863,1863-09-18,04-017-P01; 04-017-P03,[[Yellow?]] Branch [[illegible]] / Sept 18th 1863 ... I am home on a detail after Clothing for our Co.
event,Mrs Claunch murder case,Murder of Mrs Claunch by her daughter under consideration in the Waxahachie court,Sept 1863,1863-09,04-017-P03,I have visited Waxahachie twice — a very important case being under Consideration in the Court — To wit; The murder of a Mrs Claunch by her Daughter — The case has not yet been decided but from the evidence I have heard believe she will come clear — but not in the Eyes of the people — as innocent of the offence.
church,Red Oak Camp Ground,"Camp meeting at Red Oak Camp Ground, Sept 1863, smaller than former years; 'Shouting times'",Sept 1863,1863-09,04-017-P03; 04-017-P04,From Waxa on Monday I went to Red Oak Camp Ground — Camp meeting being on hand ... They had Shouting times that night
event,Henry's command,June 1863 ordered west; 1 Aug to Mississippi Valley near Natchez; 31 Aug brigade started for Arkansas; 'Seen the Elephant in La'; Genl Steele; Majors' Div; Walker's,Aug 1863,1863-08,04-018-P01,About The 1st of Aug. We moved to the Miss. Valley near Natchez — remained there a Couple of Weeks & then were ordered to Our former field (Ark). On the 31st of Aug the Brigade Started on their way rejoicing. We had Seen the Elephant in La
event,Henry's squad,Surprised 28 Aug 1863 at 3 AM; 30 horses lost; Capt [[Vardeman?]],28 of Aug 1863,1863-08-28,04-018-P02,Whilst Scouting on the Miss Our Squad turned over about 30 fine Horses their arms &c to the Yankee ... They were Completely Surprised at 3 oclk AM on the 28 of Aug
person,Bob; Jeffie; Lizzie; John; Laura; Mother; Sam Austin,Persons in the Sept 1863 letter,Sept 1863,1863-09,04-018-P02; 04-018-P03,Bob got to Camps the day before I left ... Jeffie was down last week. / We Learn Lizzie spent Sunday with you & she Returned to John on Monday. [[Laura?]] Spent last night here. Mother has had a very Sick Spell is getting over it. ... [[Br?]] Sam Austin Called in today Returning from the meeting
event,Lafayette and James,"Heavy fight 22 July 1863; regiment went in with 320, came out with about 80; James narrow escape",22nd of July 1863,1863-07-22,04-018-P03,We recently Recd a Letter from Lafayette of [[date?]] 1st of Aug. Their Brigade had a heavy fight on the 22nd of July — their Regt went into Battle with 320 & Came out with about 80 — James who was in the [[illegible]] had a narrow Escape
person,Hage; Clem,Margin: their company surrendered while stacking arms,1863,1863,04-018-P04,Those of their Co that was not killed had to Surrender & while They were Stacking arms Hage [[illegible]] through [[illegible]] & Clem [[illegible]] was found at hind
event,Bob (R D G),Old hunting companion and schoolmate writes from Cold Springs; hunted gobblers on old Brushy; nearly four years since he saw George; weighs 175; Co. F,Sept 19th /63,1863-09-19,04-019-P01; 04-019-P04,Cold Springs Texas / Sept 19th /63 ... it has been A long time since we used to meet down on old Brushy and give the old gobblers a round ... nearly Four years have pass Since I Saw you ... I weigh 175 pounds and the largest Devil in co. (F.)
event,Bob (R D G),"Big meeting in camp, forty mourners",Sept 1863,1863-09,04-019-P05,There is a big meeting going on in camp. There was about forty mourners last night. They haven't got me yet
person,Bob (R D G),Brothers east of the Mississippi; signs R D G / Bob,Sept 1863,1863-09,04-020-P01; 04-020-P03; 04-020-P05,I have not heard from my Brothers East of the miss for Two or three months ... As Ever Your Cousin / R D G ... Bob
event,James (Tupelo),Wounded 22 July [1864] charging the enemy's works; left wrist and hand; fever from mid-August; 60 days furlough in October to Mobile; stopped at Demopolis with Mrs Brassfield,Jan 25th/65,1865-01-25,04-021-P01; 04-021-P03,Tupelo Mississippi Jan 25th/65 / Dear Brother / As Brother Lafayette will Start home in a few days on furlough ... I was painfully wounded on the 22nd of July while Charging the enemys works The ball Struck me on the the left wrist and passed throw my hand
event,James (Tupelo),Federals destroyed railroad; in hospital at Columbus Miss.; hand still running; wrist stiff; brigade about 400 of five regiments; four of old Co I fit for duty; Lafayette 75 days furlough,Jan 1865,1865-01,04-022-P02; 04-022-P04; 04-023-P04,"Thair is very few of our Brigade left only about 4 hundred out of five Regiments / Thair is only four of old Co ""I"" left that is able for duty. one to evry 7 is furloughed to go to Texas Brother Lafayette gets a 75 days furlough to go home"
person,"Squire; the Jetton boys (Jeppe, Billy, Charly); the Six Texas Boys",Named in the Tupelo letter; Jeppe Jetton in prison,Jan 1865,1865-01,04-024-P04,Squire gets a furlough ... I have not heard from our cousins (the Jetton boys) lately Jeppe is in prison Billy & Charly were well when last heard from. The Six Texas Boys were all well when last heard from.
place,Geo' Douglas; Zella Douglas,"Envelope Red Oak to Zella Douglas, 1715 Grand Avenue, North Fort Worth",AUG [day/year illegible],,04-025-P01; 04-025-P02; 04-025-P03,Geo' Douglas — / Red Oak Texas / Zella Douglas — / 1715 — Grand Avenue — / North Fort Worth — / Texas. / RED OAK / AUG
person,Anna Conger (Mrs Smithson); Eva,Note on envelope reverse,,,04-026-P01,Met today Anna Conger now Mrs Smithson / Eva's old playmate at Ferris
church,Sylvana,"Meeting at Sylvana with dinner on the ground; visitors from Ennis, Oak Cliff, Waxahachie","Monday Morning [Aug, year not given]",,04-027-P03; 04-027-P04; 04-028-P02,"yesterday was a ""big"" day. According to announcement there was dinner on the ground. And such another dinner. About the finest ever spread at Sylvana. Among visitors present was White Stirman and [[deleted: illegible]] wife ... and Nellie Russell ... From Oak Cliff were three carloads of people, Jeff Barclay ... the wife of J. C. Estes, the preacher, Bro. Stevens, mother wife and sister, Bro. Melton and family and Bro. Holsenback, and wife. ... Mrs. Dr. Mitchell and family, and Bro. Dunn's family were out from Waxahachie."
person,White Stirman,Moving to Marlin to run a 'Watkins' medicine wagon,,,04-027-P03,"White and family going to move right away to Marlin, where White has a job of running a ""Watkins"" Medicine wagon."
person,Mrs Howard; Cliff Stanford; Bro. Dunn,Visitors; Bro. Dunn the revivalist 'blue over his work here',,,04-028-P02; 04-028-P03,"Bro. Dunn being something of a revivalist is blue over his work here, he is disappointed."
person,Lucile; Larkin; Kate,Lucile ill at Kate's; Larkin's disease malignant; company forbidden,,,04-028-P04; 04-028-P05; 04-029-P04,No change to report in Lucile's condition ... Larkin is much worse; the disease taking a malignant form day before yesterday ... At Kate's. I found Lucile not so well as last Sunday
event,Ellis County cotton crop,Crop a failure on 11 August (year not given); worms destroyed bolls,the eleventh of August,,04-029-P01,"The Ellis Co. cotton crop is a failure today the eleventh of August. The worms have completely destroyed all the bolls and squares, and blooms are scarcer than I ever saw"
church,Ila Duncan; Mayfaire; Bros Duncan,Confessions and baptisms at the meeting,,,04-030-P01; 04-030-P02,Ila Duncan and Mayfaire made the confession and will be baptized this evening — meeting will close tomorrow night. / Came up today and had a real civilized dinner with [[Bros?]] Duncan.
event,Red Oak,Old wooden centre of Red Oak burned,,,04-030-P03,"Jesse Ligon and family have returned to Red Oak, bag and baggage. ... Did I tell you that the old wooden center of Red Oak burned out from brick to brick? Well the old rat traps are gone. Some loss heavily —"
person,G. D. (George Douglas) to Zella,Signs 'Affectionately G. D.'; 'My peach preserves were highly praised',,,04-030-P04; 04-030-P05,Affectionately G. D. / Do the best you can for yourself while you are there. Dont bother about me. / My peach preserves were highly praised
person,Clarence & Kate; Sid Farrar; Glenn; Roland,Stayed with Clarence & Kate; puncture fixed at Rockett with Sid Farrar; Kate's children look bad; Roland's house in the pasture,Wednesday Eve,,04-032-P02; 04-032-P03; 04-033-P01,"I staid with Clarence & Kate Sunday night ... so I drove to Rockett on the rim, and with the help of Sid Farrar soon had it righted up. ... Glenn was not well ... Will likely come to Roland's house in the pasture."
person,Aunt Nannie; Ruth; Elmer Carter; Edwina,Letter from Paris forwarded; Aunt Nannie; Ruth's plum jelly; Elmer Carter takes the cow; Edwina's letter,,,04-033-P02; 04-033-P04,The letter to you from Paris I opened ... Will send yours to your Aunt Nannie ... Ruth gave me a glass of plum jelly ... Elmer Carter is very glad to get all of the Cow. ... Tell Edwina I enjoyed reading her good letter hugely.
person,Ed,Zella staying where Ed's expenses are enormous,Tuesday Morning,,04-034-P03,I know Ed's expenses must be enormous; but be sure you do not add any to them.
event,G. D.'s housekeepers,"Housekeepers left for Bartlett, Texas; George 'baching'",,,04-034-P03; 04-034-P04,"Our house keepers packed up their goods Saturday, and Sunday Evening loaded them on two wagons, and Monday morning pulled out for Bartlett Texas. ... So my prospects for baching grows brighter from day to day. ... My nieces cant understand why I persist in staying at home"
event,Feterita patch,Hens water below the feterita patch,,,04-035-P01,"They mainly water just below the Feterita patch at a swamp spring, and the feterita furnishes them fine picking."
church,Olaf; Bro. Duncan; Bro. Dunn; Dr. Stoker,Olaf wished to be baptized; Dr. Stoker gave him a few days to live,,,04-035-P03,"Word came down last night that Olaf wished to be baptized, so Bro. Duncan returned immediately to Red Oak to make preparation ... Dr. Stoker told the friends that apparently he had only a few days to live. This is hard on Kate but not unexpected."
event,Olaf,Died at six thirty on a Wednesday evening; buried at the Rawlins cemetery; Bro Dunn spoke at the tabernacle,Thursday Morning / Thursday Evening,,04-036-P03; 04-037-P01,Olaf died yesterday evening at six thirty. ... Just back from Olof's burial at the Rawlins cemetery — Many friends and sympathizers were present. Bro Dunn made a good comforting talk at the tabernacle.
event,Larkin,Blood poisoning after a hen scratched his thumb,,,04-036-P05,Larkin is sick with blood poisoning. ... To begin with a hen scratched him on the thumb some days ago
person,Mrs. Wadley,The Dr's mother died,,,04-036-P05,"Mrs. Wadley, the Dr's mother died yesterday evening."
church,Hattie Stanford; Patrick Chapel; Oak Cliff,Baptism; visitors,,,04-037-P01,"Hattie Stanford is to be baptized this evening. Quite a lot of the Patrick Chapel people were down today, and quite a lot are reported coming from Oak Cliff Sunday"
person,Mary Roberts; Edna,Fruit jars given,Thursday Morning,,04-038-P04,"Mary Roberts sent down and got all the Fruit jars she wanted some days ago, and yesterday Evening Edna came and got seventeen for her Mother."
money,G. D.,"Peach preserves: 12 lb peaches, 9 lb sugar; $13 of potatoes sold",,,04-038-P05,"I had 12 pounds of peaches, and 9 pounds sugar, began at sun up and got through by noon. ... Have disposed of 13 dollars worth of potato's and have plenty left."
person,C. C. Douglas,"Envelope from Suite 1614, 100 East 42nd Street, New York to Mr. C. C. Douglas, 212 East University, Waxahachie",FEB 28 1941,1941-02-28,04-039-P01; 04-039-P02; 04-039-P03,"Mr. C. C. Douglas / 212 East University / Waxahachie, Texas / NEW YORK N. Y. / FEB 28 / 1941"
money,Bruce Headrick; Zella Douglas,"Federal Land Bank of Houston commissioner's loan No. 336394J, $1000, note dated 11 Jan 1939 for 10 years; check payable to Assn., Bruce Headrick and Zella Douglas","January 27, 1939",1939-01-27,04-040-P02; 04-040-P03; 04-040-P05; 04-040-P07,"THE FEDERAL LAND BANK OF HOUSTON / Division of Commissioners Loans / Houston, Texas, January 27, 1939 / Loan of Bruce Headrick / P. O. Red Oak, Texas ... LOAN NO. 336394J ... the first payment of $7.00, for interest only and will be due April 1, 1939 ... Note dated January 11, 1939 for 10 years. ... Check No. 341819 Payable to Assn. and Bruce Headrick and Zella Douglas. | $1000.00"
money,Bruce Headrick,Loan closing: 'To pay balance purchase money lien'; attorney Thos. F. White; Wm. J. Mills,"January 27, 1939",1939-01-27,04-040-P08; 04-040-P09,"3. To pay balance purchase money lien. / (See FLB) / ELLIS / WM. J. MILLS:LOW / Thos. F. White, Attorney."
land,Bruce Headrick,"Federal Land Bank loan No. 92466J, $1800 on 70 acres, A. J. Porter survey, Abstract 829, Ellis County; check $1703 to Sec.-Treas. and Zella Douglas; total debt not to exceed $2800","January 27, 1939",1939-01-27,04-041-P03; 04-041-P04; 04-041-P06; 04-041-P07; 04-041-P08,"Loan of Bruce Headrick / P. O. Route 1, Red Oak, Texas / Thru the Ellis N. F. L. A. ... LOAN NO. 92466J ... Ellis | 70 | [[blank]] | [[blank]] | A. J. Porter | 829 ... Check No. 341818 Payable to Sec.-Treas. and Zella Douglas | $1703.00 ... TOTAL LOAN | $1800.00 ... The total indebtedness against this security is not to exceed $2800.00."
money,Bruce Headrick,Semi-annual payments $66.60; first interest payment $11.03 due April 1 1939; R. D. Johnson Treasurer; application fee $17,"January 27, 1939",1939-01-27,04-041-P05; 04-041-P09,"his payment will be regular semi-annual amortization payments of $66.60 each ... Very truly yours, R. D. JOHNSON, Treasurer. ... Bank charges (application fee), $17.00"
land,Heirs of N. L. Douglas,Quitclaim among heirs after Mary Douglas deeded portions of the estate to each,February 19 1875,1875-02-19,04-042-P02; 04-042-P03,we the undersigned heirs at law to the estate of N. L. Douglas for and in consideration of the portions of Said estate to us individually and severally deeded by Mary Douglas our mother ... do each severally and singly bind ourselves ... to forever quit ... all claims against all parts and parcels of said estate not received to us individually
relationship,Heirs of N. L. Douglas,Signers (children and children-in-law of N. L. and Mary Douglas),February 19 1875,1875-02-19,04-042-P03,This February 19 1875 / Jeppe Douglas / George Douglas / Lizzie Douglas / Laura Robinson / Thos. J. Robinson / Susanna Bell / J. M. Bell / J. H. Douglas / Warren Douglas
relationship,Laura Robinson; Thos. J. Robinson; Susanna Bell; J. M. Bell,Laura is wife of Thos. J. Robinson; Susanna is wife of J. M. Bell,26 Feb 1875,1875-02-26,04-042-P07,Personally appeared Laura Robinson wife of the said Thos. J. Robinson & Susanna Bell wife of the said J. M. Bell
person,[[S. M.?]] Hancock,"Notary/JP, Ellis County precinct No 8, certificate No 76",26th day of February A D 1875,1875-02-26,04-043-P04,To certify which I hereto set My hand and official Seal the 26th day of February A D 1875 / No 76 / [[S. M.?]] Hancock N P E C / Texas Precinct No 8
place,[[Jeppe?]] Douglas,"Acknowledged the quitclaim in County of [[Rusk?]] on 9 March 1875 (the family edition reads Hood County, Glen Rose)",9th day March A. D. 1875,1875-03-09,04-043-P06; 04-043-P07; 04-044-P06,The State of Texas / County of [[Rusk?]] / Personally appeared before me the undersigned authority [[Jeppe?]] Douglas ... on the 9th [[lost: torn edge]] / March A. D. 1875.
land,Geo Douglas et al to Mary Douglas,"Quitclaim filed for record 21 Aug 1875 by J M Phillips, Clerk District Court; recorded Deed Record O pages 2-3 on 23 Aug 1875; deputy H. C. Wise",Aug 21st 1875,1875-08-21,04-045-P01; 04-045-P03; 04-045-P05,"Geo Douglas et al / To / Mary Douglas / Deed / Filed for Record at 10½ oclock am / Aug 21st 1875 / J M Phillips / Cl D C / Book O Page 2 ... duly recorded in Deed Record O of said County, on pages 2 & 3 ... Per H. C. Wise Deputy."
land,Bruce Hedrick,"Field notes for 70.0 acres of the A. J. Porter Survey, Abst. No. 829; beginning at NW corner of Miss Zella Douglas property on the south line of the Geo. Douglas 80 acre tract (Vol. Z p. 58) and NE corner of J. H. Hedrick 20 acres (Vol. 179 p. 362); to the centre of Brushy Creek",,,04-046-P01; 04-046-P02; 04-046-P03; 04-046-P05,"Field Notes for Bruce Hedrick. / Being 70.0 acres of the A.J. Porter Survey, Abst. No. 829, in Ellis County, Texas ... Beginning at an iron stake at the N.W. corner of the Miss Zella Douglas property, said point being on the South line of the Geo. Douglas 80 acre tract, described in Vol. Z, Page 58 of the Deed Records of said County, and the N.E. corner of the J.H. Hedrick 20 acres described in Vol. 179, Page 362 ... Thence S. 30 E., 587 vrs. to the center of Brushy Creek."
event,Papa (George Douglas) to Zella,Letter from Union City (California postmark) about cancer treatment; wants $100 for the Ford; sell young cattle; note at Waxahachie bank due 11 Sept,Sept 3 — 1923,1923-09-03,04-048-P01; 04-048-P04; 04-048-P05; 04-049-P02,"Union City Sept 3 — 1923 / My Dear Child — ... I want a hundred dollars for the Ford. No trade. ... Sell the young cattle as it wont pay to winter them. Put up feed for one cow only. Pay the taxes, and have Ligon to attend to note due the / Waxahachie Bank, due the Eleventh of September."
