page_id	source_pdf	scan_page	kind	transcript_blocks	unresolved_items	review_level	editorial_note
04-008	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	8	fragments	6	21	initial_image_reading	Two small fragments are reproduced on the scan; each also carries text in an opposing orientation. Line endings are retained here because substantial text is missing at the edges. The relationship of the fragments is uncertain.
04-009	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	9	fragments	6	24	initial_image_reading	Two fragments with broken text. Text on the longer fragment is written in opposing orientations. Dark reproduction obscures most of the smaller fragment. Text has not been supplied from another letter.
04-010	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	10	manuscript	4	4	initial_image_reading	Camp name and some wording in the latter part of the paragraph are uncertain in the dark scan. The date reads March 13/65. Continues on scan 11.
04-011	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	11	manuscript	4	8	initial_image_reading	Continuation of scan 10. Several personal names and a unit name remain tentative; the manuscript is retained without expanding initials or abbreviations.
04-012	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	12	verse	4	0	initial_image_reading	Manuscript copy of a poem. The title and verse lineation are retained. Continues on scan 13.
04-013	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	13	verse and letter	10	1	initial_image_reading	Two manuscript panels on one scan, read down the left panel and then down the right. The last stanza is followed by the dated letter. The closing sentence and a word before “folly” remain uncertain.
04-014	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	14	endorsement	1	0	initial_image_reading	Outer or title panel associated with the poem on scans 12–13. Most of the page is blank.
04-015	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	15	address fragment	1	3	initial_image_reading	Torn fragment. The name appears to read Henry Seale; the beginning of the first line is damaged.
04-016	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	16	address fragment	1	1	initial_image_reading	Torn address fragment. A possible postal abbreviation is retained as written; the date is incomplete.
04-017	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	17	manuscript	4	5	selected_passages_image_adjudicated_2026_09	Letter in a small, closely written hand with a fold and scattered reproduction damage. The first word of the place-name and several clauses remain uncertain. Continues on scan 18.
04-018	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	18	manuscript	4	29	initial_image_reading	Continuation of scan 17. The crowded lower lines and right margin are particularly difficult. Their sequence is provisional. Canceled text near the center is marked, and uncertain names and numerical readings should be checked against the scan.
04-019	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	19	manuscript	5	4	uncertainty_annotation	Letter continues on scan 20. Original informal spelling is retained. “as wet foots” and the wording before “is A” are difficult and may warrant revision.
04-020	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	20	manuscript	5	0	initial_image_reading	Continuation and closing of scan 19. Signature initials appear to read R D G; the postscript is signed Bob.
04-021	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	21	manuscript	3	2	initial_image_reading	The repeated “the” and repeated “for … months” are in the manuscript and are retained. The last two lines are crowded and partially obscured. Continues on scan 22.
04-022	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	22	manuscript	4	0	initial_image_reading	Continuation of scan 21. “deceased Bone” is retained as the writer appears to have written it; no medical correction is substituted.
04-023	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	23	manuscript	5	3	selected_passages_image_adjudicated_2026_09	The top of the scan repeats the heading and opening of scan 21. The main body continues scan 22. The word before “Stays” and portions of the crowded bottom line are uncertain. Image review September 2026. 04-023-P02: the clipped opening continues in 04-021-P03, beginning with the rest of furlough and I will write you a few lines. The loss marker describes scan 23 and remains.
04-024	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	24	manuscript	4	3	selected_passages_image_adjudicated_2026_09	The top strip repeats part of scan 22. The remaining text concludes the letter. The surname or initials after James cannot be read confidently. Image review September 2026. 04-024-P02: the clipped upper passage continues in 04-022-P02 with to the Command. Scan 22 preserves the rest of the account; retain the scan-24 loss marker.
04-025	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	25	envelope	4	1	initial_image_reading	Envelope read after rotation. The day and year of the postmark are not recoverable in this reproduction.
04-026	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	26	envelope annotation	1	0	initial_image_reading	Handwritten note on the reverse of the envelope on scan 25.
04-027	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	27	manuscript	4	1	initial_image_reading	Continuation on scan 28. Personal names are transcribed as read; no attempt has been made to identify these visitors from outside records.
04-028	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	28	manuscript	5	0	initial_image_reading	Continuation of scan 27.
04-029	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	29	manuscript	4	1	initial_image_reading	Continuation of scan 28. The pencil postscript is much fainter than the ink text. One word or phrase after “same as” remains unread.
04-030	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	30	manuscript	6	2	uncertainty_annotation	Closing continuation of scans 27–29. The inverted line at the foot appears to be an incidental partial reproduction rather than part of the closing postscript; it is recorded separately. The reading “Bros” and some pencil words should be checked against the scan.
04-031	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	31	envelope	4	1	initial_image_reading	A further envelope image. Similar to scan 25, but reproduced separately here as supplied. Day and year of the postmark are unclear.
04-032	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	32	manuscript	3	0	initial_image_reading	Letter continues on scan 33.
04-033	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	33	manuscript	5	0	initial_image_reading	Closing continuation of scan 32. “get all of the Cow” is retained as written; the wording has not been expanded into an inferred meaning.
04-034	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	34	manuscript	4	0	initial_image_reading	The weekday was corrected above the original “Monday.” Continuation on scan 35.
04-035	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	35	manuscript	5	0	initial_image_reading	Closing continuation of scan 34. A repeated canceled word and an insertion in the pencil postscript are recorded.
04-036	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	36	manuscript	5	0	initial_image_reading	Letter continues on scan 37. The partial canceled start of “blood” is recorded.
04-037	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	37	manuscript	3	0	initial_image_reading	Closing continuation of scan 36. The name spelled “Olaf” on scan 36 appears as “Olof” here; the difference is retained.
04-038	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	38	manuscript	6	0	initial_image_reading	The name in the salutation has a flourished initial, read here as Zella, as in adjacent letters. No date other than the weekday is supplied in this entry.
04-039	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	39	envelope	4	0	initial_image_reading	Printed and typed envelope. Read after rotation. Postmark year 1941 is retained even though the collection title ends in 1939.
04-040	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	40	printed form	9	0	initial_image_reading	Printed form with typed entries. Table columns are separated by vertical bars; empty ruled fields are marked [[blank]]. The loan number is close to the right edge of the scan.
04-041	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	41	printed form	9	1	uncertainty_annotation	Printed form with typed entries and handwritten correction of the first-payment date. Blank fields are represented explicitly. The small notation near the bottom left is difficult; “$ com” is provisional. Amount and date readings require checking against the source before financial or historical use.
04-042	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	42	manuscript	7	0	initial_image_reading	The quitclaim identifies Mary Douglas as “our mother” and the signatories as heirs of N. L. Douglas. This does not itself identify N. L. Douglas’s father or birthplace. The faint signatures and the first date need further scrutiny. Acknowledgment continues in the overlapping scan 43.
04-043	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	43	manuscript	8	4	selected_passages_image_adjudicated_2026_09	Overlapping reproduction of the acknowledgment begun on scan 42. The lower acknowledgment continues on scan 44. Portions hidden by the fold have not been silently supplied from that other image. Image review September 2026. 04-043-P03: hearing of their said Husbands they the said Laura Robinson and Susanna Bell acknowledged. The fold in 04-043 hides this span. Scan 04-044 shows the same handwriting before and after it and exposes the intervening words. Retain the obstruction marker on 04-043 and supply a cited witness note; these words were not recovered from the fold itself. 04-043-P08: Continuation includes March A. D. 1875. Matching handwriting and the same date line establish the overlap. The later scan exposes March A. D. 1875 below the cropped ending. Keep the loss marker and link 04-044-P06; do not invent the connector still at the torn edge.
04-044	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	44	manuscript	7	7	selected_passages_image_adjudicated_2026_09	Further overlapping scan of the acknowledgments. This image reveals wording concealed by the fold on scan 43. The lower county, place, and notary’s name remain unresolved. Image review September 2026. 04-044-P01: Opening is preserved in 04-043-P03. The names, clause order and repeated lower lines identify this as the same acknowledgment. The preceding image preserves At the Same time and Place Personally appeared Laura Robinson ... wife of the said J. M. Bell. Preserve the crop boundary and cite that witness instead of implying the words are visible on scan 44.
04-045	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	45	recording endorsements	5	1	selected_passages_image_adjudicated_2026_09	The upper filing panel is rotated relative to the printed certificate. The manuscript book letter is read as O, not the numeral zero.
04-046	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	46	typescript	7	0	initial_image_reading	Survey bearings, fractions, and distances are reproduced as typed, without converting units or reconciling them to other deeds.
04-047	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	47	envelope fragment	2	0	initial_image_reading	Most of the envelope reverse is blank; a large portion is torn away.
04-048	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	48	manuscript	5	0	initial_image_reading	Letter begins here and continues on scans 49–51. Read after rotation. Year reads 1923.
04-049	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	49	manuscript	7	0	initial_image_reading	Original page number 2 retained. The account is the writer’s own description; no retrospective diagnosis is added.
04-050	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	50	manuscript	5	0	initial_image_reading	Original page number 3 retained. The deleted word is overwritten; read here as an abandoned first attempt at “cheek.”
04-051	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	51	manuscript	5	0	initial_image_reading	Original page number 4. Continues the letter beginning on scan 48.
04-052	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	52	manuscript	4	0	initial_image_reading	Original page number 5. Signed closing, followed by additional writing on scans 53–54.
04-053	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	53	manuscript	1	0	initial_image_reading	Additional page associated with the September 3 letter. No page number is visible.
04-054	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	54	manuscript	2	0	selected_passages_image_adjudicated_2026_09	Additional closing page. Image review supports Gunter as the destination.
04-055	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	55	envelope	3	0	initial_image_reading	Envelope read after rotation. The time is small and may require confirmation from a higher resolution source.
04-056	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	56	manuscript	3	0	initial_image_reading	Letter continues on scan 57. The first sentence refers to the legibility of a letter received; “That will learn you” is retained.
04-057	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	57	manuscript	3	0	initial_image_reading	Continuation of scan 56.
04-058	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	58	manuscript	3	0	initial_image_reading	Original page number 3.
04-059	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	59	manuscript	2	0	initial_image_reading	Original page number 4. Prices are copied as expressed, including the final figures.
04-060	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	60	manuscript	3	0	initial_image_reading	Original page number 5. Closing of the letter beginning on scan 56.
04-061	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	61	manuscript	4	0	initial_image_reading	Postscript or continuation in the same series of letters. This is the writer’s historical account of treatment, reproduced without endorsing its explanation.
04-062	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	62	manuscript	3	0	initial_image_reading	Continues scan 61.
04-063	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	63	manuscript	3	0	initial_image_reading	Continuation of scans 61–62. No signature visible on this page.
04-064	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	64	envelope	3	1	initial_image_reading	Envelope read after rotation. The year in the cancellation is too faint to read confidently.
04-065	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	65	manuscript	1	0	initial_image_reading	The heading is transcribed without supplying a month.
04-066	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	66	manuscript	1	0	initial_image_reading	
04-067	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	67	manuscript	1	1	initial_image_reading	
04-068	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	68	manuscript	1	0	initial_image_reading	
04-069	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	69	manuscript	1	0	initial_image_reading	The last word is written at the right edge. Historical racial language is retained as documentary text.
04-070	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	70	manuscript	1	0	initial_image_reading	
04-071	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	71	envelope	2	0	initial_image_reading	
04-072	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	72	manuscript	1	0	initial_image_reading	
04-073	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	73	manuscript	1	0	initial_image_reading	
04-074	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	74	manuscript	1	1	initial_image_reading	
04-075	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	75	manuscript	1	0	initial_image_reading	
04-076	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	76	manuscript	1	0	initial_image_reading	
04-077	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	77	manuscript	1	0	initial_image_reading	
04-078	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	78	identifying slips	2	0	initial_image_reading	
04-079	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	79	manuscript	1	2	selected_passages_image_adjudicated_2026_09	Heavy show-through from the reverse interferes with several readings. The place name following “enjoyed in” reads Brushy after image review.
04-080	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	80	manuscript	1	0	selected_passages_image_adjudicated_2026_09	Image review reads the verb build before “a large Livery Stable”; the earlier proposed surname has been withdrawn. Show-through is visible throughout.
04-081	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	81	manuscript	1	3	initial_image_reading	A fold and heavy show-through obscure portions of this page, especially the clause about Susannah.
04-082	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	82	identifying slip	1	0	initial_image_reading	
04-083	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	83	manuscript	1	2	uncertainty_annotation	Personal names and the colloquial expression before “as heath calls it” should be checked against the original.
04-084	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	84	manuscript	1	0	initial_image_reading	
04-085	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	85	manuscript	1	2	uncertainty_annotation	The opening geographical phrase and wording before “and all write” remain unresolved.
04-086	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	86	manuscript	3	2	initial_image_reading	The three differently oriented blocks are transcribed separately. The sentence about the land certificate is partly obscured and its syntax remains unresolved. The wool weight is tentative.
04-087	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	87	identifying slip	1	0	initial_image_reading	
04-088	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	88	manuscript	1	0	initial_image_reading	
04-089	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	89	manuscript	1	0	initial_image_reading	The short canceled word in the parenthesis is read as “God”; the resulting wording is retained without repair.
04-090	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	90	manuscript	1	7	uncertainty_annotation	The opening list of names lacks clear separators; “Or.” and several surnames remain open to revision. “son in law” and the following names are retained without supplying relationships or punctuation.
04-091	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	91	manuscript	1	8	selected_passages_image_adjudicated_2026_09	Dark stains and folds obscure several clauses, including the accident report and the sentence about seeing the family. No cause of death or relationship is supplied where it cannot be read.
04-092	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	92	identifying slip	1	0	initial_image_reading	The identifying slip reads December 30; the manuscript heading on scan page 93 reads December 3d.
04-093	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	93	manuscript	1	0	initial_image_reading	The date is read as “3d,” not the “30” on the preceding identifying slip. The given name near the end appears “Jepse” and is retained as read.
04-094	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	94	manuscript	1	0	initial_image_reading	
04-095	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	95	manuscript	1	1	initial_image_reading	The baptism count is blotted. Fragments of another sheet visible behind the right edge are not a continuous readable passage.
04-096	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	96	manuscript	3	2	initial_image_reading	The continuation and closing are followed by the separately oriented address panel. The postmark is not sufficiently legible for a reliable date.
05-001	ACU CRS MS5 - 05 - Folder 2, Correspondence and Legal Papers.pdf	1	repository cover	6	0	initial_image_reading	
05-002	ACU CRS MS5 - 05 - Folder 2, Correspondence and Legal Papers.pdf	2	identifying slip	1	0	initial_image_reading	
05-003	ACU CRS MS5 - 05 - Folder 2, Correspondence and Legal Papers.pdf	3	manuscript	1	3	initial_image_reading	Abrasion or fading at the folds interrupts the opening paragraph. The shares are read as one-third; the second is faint.
05-004	ACU CRS MS5 - 05 - Folder 2, Correspondence and Legal Papers.pdf	4	manuscript	1	3	initial_image_reading	Two faded phrases near the top remain unresolved. Medical claims are transcribed as the writer’s historical statements.
05-005	ACU CRS MS5 - 05 - Folder 2, Correspondence and Legal Papers.pdf	5	identifying slip	1	0	initial_image_reading	
05-006	ACU CRS MS5 - 05 - Folder 2, Correspondence and Legal Papers.pdf	6	manuscript	1	0	initial_image_reading	
05-007	ACU CRS MS5 - 05 - Folder 2, Correspondence and Legal Papers.pdf	7	manuscript	2	1	initial_image_reading	The postscript is inverted at the top of the image. The abbreviation before “& aunt Cynthia” is uncertain.
05-008	ACU CRS MS5 - 05 - Folder 2, Correspondence and Legal Papers.pdf	8	identifying slip	1	0	initial_image_reading	
05-009	ACU CRS MS5 - 05 - Folder 2, Correspondence and Legal Papers.pdf	9	manuscript	1	0	initial_image_reading	
05-010	ACU CRS MS5 - 05 - Folder 2, Correspondence and Legal Papers.pdf	10	manuscript	1	0	initial_image_reading	
05-011	ACU CRS MS5 - 05 - Folder 2, Correspondence and Legal Papers.pdf	11	manuscript	1	0	initial_image_reading	
05-012	ACU CRS MS5 - 05 - Folder 2, Correspondence and Legal Papers.pdf	12	note and identifying slip	2	0	initial_image_reading	
05-013	ACU CRS MS5 - 05 - Folder 2, Correspondence and Legal Papers.pdf	13	identifying slip	1	0	initial_image_reading	The initials on this identifying slip are L. N.; they are not silently reordered.
05-014	ACU CRS MS5 - 05 - Folder 2, Correspondence and Legal Papers.pdf	14	manuscript	1	1	initial_image_reading	The deleted word after “five mile” is read tentatively as “branch”; “creek” is inserted above it.
05-015	ACU CRS MS5 - 05 - Folder 2, Correspondence and Legal Papers.pdf	15	manuscript	3	1	initial_image_reading	The faint lower panel appears to contain postal or offset marks; no reliable extended wording can be recovered.
05-016	ACU CRS MS5 - 05 - Folder 2, Correspondence and Legal Papers.pdf	16	identifying slip	2	0	initial_image_reading	The superscript cents are rendered after a decimal point. The amount is fifteen dollars, consistent with the receipt on scan page 18.
05-017	ACU CRS MS5 - 05 - Folder 2, Correspondence and Legal Papers.pdf	17	promissory note	1	1	initial_image_reading	The first signature’s initials are difficult. The words “witness my and Seal” are transcribed without silently supplying “hand.” Faint reversed writing appears to be show-through.
05-018	ACU CRS MS5 - 05 - Folder 2, Correspondence and Legal Papers.pdf	18	note endorsements	3	2	initial_image_reading	The receipt reads “Fifteen dollars.” The payee in the endorsement is tentative; canceled and overwritten text is partly unreadable.
05-019	ACU CRS MS5 - 05 - Folder 2, Correspondence and Legal Papers.pdf	19	identifying slip	1	0	initial_image_reading	
05-020	ACU CRS MS5 - 05 - Folder 2, Correspondence and Legal Papers.pdf	20	docket	2	0	initial_image_reading	“Rit of Revocation” is retained as written; the heading is not modernized to a legal term.
05-021	ACU CRS MS5 - 05 - Folder 2, Correspondence and Legal Papers.pdf	21	land tax instrument	2	3	initial_image_reading	Several words in the release clause are unclear. The final day is read as 31st; the first written day is 23d.
05-022	ACU CRS MS5 - 05 - Folder 2, Correspondence and Legal Papers.pdf	22	due bill and identifying slip	2	1	initial_image_reading	The first signature initial resembles S; the later identifying slip gives L. W. Both are preserved separately.
05-023	ACU CRS MS5 - 05 - Folder 2, Correspondence and Legal Papers.pdf	23	identifying slip	1	0	initial_image_reading	
05-024	ACU CRS MS5 - 05 - Folder 2, Correspondence and Legal Papers.pdf	24	docket	3	1	selected_passages_image_adjudicated_2026_09	The initial before Hawkins reads F. The preceding abbreviation is uncertain and may be Benj; it is not silently expanded.
05-025	ACU CRS MS5 - 05 - Folder 2, Correspondence and Legal Papers.pdf	25	power of attorney	1	0	initial_image_reading	
05-026	ACU CRS MS5 - 05 - Folder 2, Correspondence and Legal Papers.pdf	26	acknowledgment and recording	2	0	initial_image_reading	“duly duly” is retained. The identification here supports F. Hawkins, but no earlier initials are silently expanded.
05-027	ACU CRS MS5 - 05 - Folder 2, Correspondence and Legal Papers.pdf	27	typed verse	2	0	initial_image_reading	This is a typescript, not handwriting. “lonliness,” “sunrless,” and “forelorn” are retained as printed; lines follow the typescript.
05-028	ACU CRS MS5 - 05 - Folder 2, Correspondence and Legal Papers.pdf	28	identifying slip	1	0	initial_image_reading	
05-029	ACU CRS MS5 - 05 - Folder 2, Correspondence and Legal Papers.pdf	29	land conveyance	1	0	initial_image_reading	
05-030	ACU CRS MS5 - 05 - Folder 2, Correspondence and Legal Papers.pdf	30	acknowledgment	2	0	initial_image_reading	Heavy reversed show-through has not been treated as additional writing on this side.
05-031	ACU CRS MS5 - 05 - Folder 2, Correspondence and Legal Papers.pdf	31	manuscript	3	2	initial_image_reading	Docket rotated for reading. The clerk’s middle initial is uncertain.
05-032	ACU CRS MS5 - 05 - Folder 2, Correspondence and Legal Papers.pdf	32	identifying slip	1	1	selected_passages_image_adjudicated_2026_09	
